state_name,district,latitude,longitude,elevation_m,status
Madhya Pradesh,Rewa,24.756063,81.654453,326.0,success
Madhya Pradesh,Sagar,23.808313,78.758258,543.0,success
Madhya Pradesh,Satna,24.577611,80.808965,317.0,success
Madhya Pradesh,Sehore,23.115072,77.066538,561.0,success
Madhya Pradesh,Seoni,22.274811,79.720252,496.0,success
Madhya Pradesh,Shahdol,23.653072,81.430319,443.0,success
Madhya Pradesh,Shajapur,23.417227,76.607514,460.0,success
Manipur,Kakching,24.393216,93.886482,767.0,success
Manipur,Kangpokpi,24.991801,94.092281,1061.0,success
Manipur,Jiribam,24.708992,93.117288,80.0,success
Madhya Pradesh,Sheopur,25.749628,76.92042,353.0,success
Madhya Pradesh,Shivpuri,25.374153,77.827922,414.0,success
Madhya Pradesh,Sidhi,24.211269,81.700042,372.0,success
Madhya Pradesh,Tikamgarh,24.855216,79.047255,285.0,success
Madhya Pradesh,Ujjain,23.293507,75.625763,477.0,success
Madhya Pradesh,Umaria,23.643184,80.941908,482.0,success
Madhya Pradesh,Vidisha,23.846303,77.837021,406.0,success
Madhya Pradesh,Singrauli,24.243331,82.382723,354.0,success
Madhya Pradesh,Alirajpur,22.285952,74.35456,299.0,success
Madhya Pradesh,Agar Malwa,23.935057,76.145115,420.0,success
Madhya Pradesh,Niwari,25.306313,78.663122,229.0,success
Mizoram,Aizawl,23.865843,92.982065,804.0,success
Mizoram,Champhai,23.543562,93.227198,1144.0,success
Mizoram,Kolasib,24.183775,92.711904,349.0,success
Mizoram,Lawngtlai,22.368687,92.731139,486.0,success
Mizoram,Lunglei,22.952465,92.758853,710.0,success
Mizoram,Mamit,23.755661,92.450691,255.0,success
Manipur,Tengnoupal,24.380922,94.263302,726.0,success
Madhya Pradesh,Barwani,21.75126,74.891549,496.0,success
Madhya Pradesh,Betul,21.879747,77.875365,635.0,success
Madhya Pradesh,Bhind,26.351337,78.686262,152.0,success
Madhya Pradesh,Bhopal,23.483976,77.392851,493.0,success
Madhya Pradesh,Burhanpur,21.334536,76.36994,271.0,success
Madhya Pradesh,Chhatarpur,24.760609,79.678163,289.0,success
Madhya Pradesh,Chhindwara,22.139636,78.809623,756.0,success
Madhya Pradesh,Damoh,23.798138,79.542004,344.0,success
Madhya Pradesh,Datia,25.8638,78.633511,182.0,success
Madhya Pradesh,Dewas,22.80565,76.294058,503.0,success
Madhya Pradesh,Dhar,22.578657,75.225864,560.0,success
Madhya Pradesh,Dindori,22.907087,80.888853,679.0,success
Madhya Pradesh,East Nimar,21.976987,76.567531,283.0,success
Madhya Pradesh,Guna,24.500208,77.260107,442.0,success
Madhya Pradesh,Gwalior,26.028749,78.157065,252.0,success
Madhya Pradesh,Mandsaur,24.262874,75.385754,386.0,success
Madhya Pradesh,Morena,26.384517,77.861202,186.0,success
Madhya Pradesh,Narsinghpur,22.934805,79.086638,357.0,success
Madhya Pradesh,Neemuch,24.629765,75.182746,484.0,success
Madhya Pradesh,Panna,24.449893,80.146272,321.0,success
Madhya Pradesh,Raisen,23.267591,78.172714,540.0,success
Nagaland,Wokha,26.254738,94.203681,298.0,success
Nagaland,Zunheboto,26.012753,94.511916,1574.0,success
Nagaland,Peren,25.454998,93.599138,1130.0,success
Nagaland,Kiphire,25.811629,94.847963,1455.0,success
Nagaland,Longleng,26.584109,94.804711,1105.0,success
Odisha,Anugul,21.103706,84.954677,138.0,success
Odisha,Balangir,20.609313,83.167596,275.0,success
Odisha,Baleshwar,21.519837,86.883753,19.0,success
Odisha,Bargarh,21.232178,83.567324,180.0,success
Odisha,Bhadrak,20.984019,86.59477,5.0,success
Odisha,Boudh,20.639812,83.997729,211.0,success
Odisha,Cuttack,20.370132,85.467902,33.0,success
Odisha,Deogarh,21.447282,84.717553,152.0,success
Odisha,Dhenkanal,20.835406,85.601435,57.0,success
Odisha,Gajapati,19.197901,84.190418,910.0,success
Odisha,Ganjam,19.60969,84.70702,53.0,success
Odisha,Jagatsinghapur,20.179096,86.342175,3.0,success
Odisha,Jajapur,20.873986,86.123763,24.0,success
Odisha,Jharsuguda,21.801123,84.016825,198.0,success
Odisha,Kalahandi,19.826425,83.040934,253.0,success
Odisha,Kandhamal,20.13159,84.079112,560.0,success
Odisha,Kendrapara,20.546626,86.52807,3.0,success
Odisha,Kendujhar,21.58954,85.668318,492.0,success
Odisha,Khordha,20.05412,85.502032,18.0,success
Odisha,Koraput,18.724322,82.607102,998.0,success
Odisha,Malkangiri,18.275577,81.95248,159.0,success
Odisha,Mayurbhanj,21.915318,86.39762,803.0,success
Odisha,Nabarangpur,19.609651,82.299133,609.0,success
Odisha,Nayagarh,20.23898,85.051146,147.0,success
Odisha,Nuapada,20.538972,82.529299,595.0,success
Odisha,Puri,19.835276,85.687865,2.0,success
Odisha,Rayagada,19.442479,83.587745,534.0,success
Odisha,Sambalpur,21.555867,84.153894,200.0,success
Odisha,Sonepur,20.852893,83.852304,146.0,success
Odisha,Sundargarh,22.060669,83.936436,230.0,success
Punjab,Amritsar,31.773046,74.831819,233.0,success
Punjab,Bathinda,30.17903,75.047053,209.0,success
Punjab,Faridkot,30.60144,74.795038,209.0,success
Punjab,Fatehgarh Sahib,30.660952,76.383575,268.0,success
Punjab,Ferozepur,30.950201,74.76015,201.0,success
Punjab,Gurdaspur,31.903794,75.227542,254.0,success
Punjab,Hoshiarpur,31.609498,75.843911,306.0,success
Punjab,Jalandhar,31.292203,75.567966,237.0,success
Punjab,Kapurthala,31.385602,75.304983,222.0,success
Punjab,Ludhiana,30.789426,75.827198,249.0,success
Punjab,Mansa,29.876276,75.488944,218.0,success
Punjab,Moga,30.788247,75.160063,220.0,success
Punjab,Sri Muktsar Sahib,30.28673,74.526198,197.0,success
Punjab,Shahid Bhagat Singh Nagar,31.126858,76.159931,258.0,success
Punjab,Patiala,30.209387,76.338762,243.0,success
Punjab,Rupnagar,31.091386,76.528876,296.0,success
Punjab,Sangrur,30.209697,75.819192,235.0,success
Punjab,Barnala,30.371727,75.503965,225.0,success
Punjab,S.A.S Nagar,30.649944,76.739836,302.0,success
Punjab,Tarn Taran,31.321298,74.841609,221.0,success
Punjab,Fazilka,30.376043,74.107422,181.0,success
Punjab,Pathankot,32.302806,75.659351,345.0,success
Puducherry,Karaikal,10.915569,79.807048,3.0,success
Puducherry,Mahe,11.700876,75.535987,13.0,success
Rajasthan,Ajmer,26.331985,74.7164,449.0,success
Rajasthan,Alwar,27.63789,76.613801,270.0,success
Rajasthan,Banswara,23.493242,74.349965,193.0,success
Rajasthan,Baran,24.917788,76.697125,275.0,success
Rajasthan,Barmer,25.584237,71.619873,135.0,success
Rajasthan,Bharatpur,27.265544,77.368512,180.0,success
Rajasthan,Bhilwara,25.488421,74.699136,424.0,success
Rajasthan,Bikaner,28.116573,73.110417,195.0,success
Rajasthan,Bundi,25.437776,75.737376,237.0,success
Rajasthan,Chittorgarh,24.717229,74.471367,427.0,success
Rajasthan,Churu,28.205042,74.69085,303.0,success
Rajasthan,Dausa,26.805604,76.444767,337.0,success
Rajasthan,Dholpur,26.65332,77.62356,205.0,success
Rajasthan,Dungarpur,23.672579,73.816471,276.0,success
Rajasthan,Ganganagar,29.461907,73.540964,168.0,success
Rajasthan,Hanumangarh,29.36436,74.211235,180.0,success
Rajasthan,Sikar,27.662843,75.027324,397.0,success
Rajasthan,Sirohi,24.811056,72.82989,325.0,success
Rajasthan,Tonk,26.122467,75.663488,276.0,success
Rajasthan,Udaipur,24.453834,73.651523,512.0,success
Rajasthan,Pratapgarh,24.022775,74.626967,411.0,success
Sikkim,Gangtok,27.278681,88.675281,2418.0,success
Sikkim,Mangan,27.75364,88.516714,3574.0,success
Sikkim,Namchi,27.303811,88.379892,1560.0,success
Sikkim,Gyalshing,27.363836,88.187317,1827.0,success
Tamil Nadu,Pudukkottai,10.291651,78.817045,89.0,success
Tamil Nadu,Ramanathapuram,9.518559,78.652662,32.0,success
Tamil Nadu,Salem,11.647346,78.210734,368.0,success
Tamil Nadu,Sivaganga,9.965005,78.720845,61.0,success
Tamil Nadu,Thanjavur,10.659645,79.197937,38.0,success
Tamil Nadu,The Nilgiris,11.445508,76.697645,2212.0,success
Tamil Nadu,Theni,9.868892,77.422463,388.0,success
Tamil Nadu,Thiruvallur,13.254709,80.062284,24.0,success
Tamil Nadu,Thiruvarur,10.647875,79.50237,11.0,success
Tamil Nadu,Chennai,13.055368,80.235511,13.0,success
Tamil Nadu,Coimbatore,10.812725,77.081606,329.0,success
Tamil Nadu,Cuddalore,11.520657,79.339851,54.0,success
Tamil Nadu,Dharmapuri,12.144845,78.113206,467.0,success
Tamil Nadu,Dindigul,10.42694,77.81625,301.0,success
Tamil Nadu,Erode,11.488925,77.349814,216.0,success
Tamil Nadu,Kanchipuram,12.794215,79.774512,67.0,success
Tamil Nadu,Kanniyakumari,8.328087,77.35411,256.0,success
Tamil Nadu,Karur,10.821975,78.383931,124.0,success
Tamil Nadu,Krishnagiri,12.515051,78.009924,705.0,success
Tamil Nadu,Madurai,9.936291,78.007498,166.0,success
Tamil Nadu,Nagapattinam,11.191282,79.696367,7.0,success
Tamil Nadu,Namakkal,11.305297,78.118536,195.0,success
Tamil Nadu,Perambalur,11.289708,78.929828,115.0,success
Tamil Nadu,Tiruchirappalli,10.851019,78.726704,66.0,success
Tamil Nadu,Tirunelveli,8.54944,77.579769,112.0,success
Tamil Nadu,Tiruvannamalai,12.429321,78.999758,347.0,success
Tamil Nadu,Tuticorin,8.846457,77.993494,30.0,success
Tamil Nadu,Vellore,12.902077,79.061143,233.0,success
Tamil Nadu,Villupuram,12.12507,79.600647,50.0,success
